attack,scheme,decoder,mean_bit_accuracy,min_bit_accuracy,num_images
none,baseline_single_region,global_mask_average,1.000000,1.000000,5
none,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
none,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
none,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
jpeg_q95,baseline_single_region,global_mask_average,1.000000,1.000000,5
jpeg_q95,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
jpeg_q95,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
jpeg_q95,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
jpeg_q85,baseline_single_region,global_mask_average,0.993750,0.968750,5
jpeg_q85,dwsf_redundant_regions,global_mask_average,0.987500,0.937500,5
jpeg_q85,dwsf_redundant_regions,component_majority,0.993750,0.968750,5
jpeg_q85,dwsf_redundant_regions,component_confidence_weighted,0.987500,0.937500,5
jpeg_q75,baseline_single_region,global_mask_average,0.993750,0.968750,5
jpeg_q75,dwsf_redundant_regions,global_mask_average,0.993750,0.968750,5
jpeg_q75,dwsf_redundant_regions,component_majority,0.993750,0.968750,5
jpeg_q75,dwsf_redundant_regions,component_confidence_weighted,0.993750,0.968750,5
jpeg_q65,baseline_single_region,global_mask_average,0.993750,0.968750,5
jpeg_q65,dwsf_redundant_regions,global_mask_average,0.981250,0.906250,5
jpeg_q65,dwsf_redundant_regions,component_majority,0.981250,0.906250,5
jpeg_q65,dwsf_redundant_regions,component_confidence_weighted,0.981250,0.906250,5
jpeg_q50,baseline_single_region,global_mask_average,0.975000,0.906250,5
jpeg_q50,dwsf_redundant_regions,global_mask_average,0.943750,0.750000,5
jpeg_q50,dwsf_redundant_regions,component_majority,0.950000,0.781250,5
jpeg_q50,dwsf_redundant_regions,component_confidence_weighted,0.943750,0.750000,5
jpeg_q30,baseline_single_region,global_mask_average,0.937500,0.718750,5
jpeg_q30,dwsf_redundant_regions,global_mask_average,0.937500,0.750000,5
jpeg_q30,dwsf_redundant_regions,component_majority,0.937500,0.750000,5
jpeg_q30,dwsf_redundant_regions,component_confidence_weighted,0.931250,0.718750,5
resize_0.75,baseline_single_region,global_mask_average,1.000000,1.000000,5
resize_0.75,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
resize_0.75,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
resize_0.75,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
resize_0.5,baseline_single_region,global_mask_average,1.000000,1.000000,5
resize_0.5,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
resize_0.5,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
resize_0.5,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
resize_0.25,baseline_single_region,global_mask_average,0.993750,0.968750,5
resize_0.25,dwsf_redundant_regions,global_mask_average,0.987500,0.937500,5
resize_0.25,dwsf_redundant_regions,component_majority,0.987500,0.937500,5
resize_0.25,dwsf_redundant_regions,component_confidence_weighted,0.987500,0.937500,5
center_crop_0.9,baseline_single_region,global_mask_average,1.000000,1.000000,5
center_crop_0.9,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
center_crop_0.9,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
center_crop_0.9,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
center_crop_0.75,baseline_single_region,global_mask_average,1.000000,1.000000,5
center_crop_0.75,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
center_crop_0.75,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
center_crop_0.75,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
center_crop_0.5,baseline_single_region,global_mask_average,0.987500,0.968750,5
center_crop_0.5,dwsf_redundant_regions,global_mask_average,0.962500,0.875000,5
center_crop_0.5,dwsf_redundant_regions,component_majority,0.968750,0.906250,5
center_crop_0.5,dwsf_redundant_regions,component_confidence_weighted,0.962500,0.875000,5
random_crop_0.9,baseline_single_region,global_mask_average,1.000000,1.000000,5
random_crop_0.9,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
random_crop_0.9,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
random_crop_0.9,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
random_crop_0.75,baseline_single_region,global_mask_average,1.000000,1.000000,5
random_crop_0.75,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
random_crop_0.75,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
random_crop_0.75,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
random_crop_0.5,baseline_single_region,global_mask_average,0.987500,0.937500,5
random_crop_0.5,dwsf_redundant_regions,global_mask_average,0.981250,0.968750,5
random_crop_0.5,dwsf_redundant_regions,component_majority,0.987500,0.968750,5
random_crop_0.5,dwsf_redundant_regions,component_confidence_weighted,0.981250,0.968750,5
occlusion_0.05,baseline_single_region,global_mask_average,1.000000,1.000000,5
occlusion_0.05,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
occlusion_0.05,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
occlusion_0.05,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
occlusion_0.1,baseline_single_region,global_mask_average,1.000000,1.000000,5
occlusion_0.1,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
occlusion_0.1,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
occlusion_0.1,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
occlusion_0.2,baseline_single_region,global_mask_average,1.000000,1.000000,5
occlusion_0.2,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
occlusion_0.2,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
occlusion_0.2,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
partial_removal_0.05,baseline_single_region,global_mask_average,1.000000,1.000000,5
partial_removal_0.05,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
partial_removal_0.05,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
partial_removal_0.05,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
partial_removal_0.1,baseline_single_region,global_mask_average,1.000000,1.000000,5
partial_removal_0.1,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
partial_removal_0.1,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
partial_removal_0.1,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
partial_removal_0.2,baseline_single_region,global_mask_average,1.000000,1.000000,5
partial_removal_0.2,dwsf_redundant_regions,global_mask_average,1.000000,1.000000,5
partial_removal_0.2,dwsf_redundant_regions,component_majority,1.000000,1.000000,5
partial_removal_0.2,dwsf_redundant_regions,component_confidence_weighted,1.000000,1.000000,5
