scheme,scaling_w,attack,method,mean_bit_accuracy,min_bit_accuracy,num_images
dwsf_5region_spatial,2.5000,crop_bottom_right_50,bbox_confidence_select,0.956250,0.875000,5
dwsf_5region_spatial,2.5000,crop_bottom_right_50,bbox_similarity_select,0.975000,0.906250,5
dwsf_5region_spatial,2.5000,crop_bottom_right_50,global_decode,0.975000,0.906250,5
dwsf_5region_spatial,2.5000,crop_bottom_right_50,oracle_best_candidate,0.981250,0.937500,5
dwsf_5region_spatial,2.5000,crop_center_50,bbox_confidence_select,0.987500,0.937500,5
dwsf_5region_spatial,2.5000,crop_center_50,bbox_similarity_select,0.981250,0.937500,5
dwsf_5region_spatial,2.5000,crop_center_50,global_decode,0.981250,0.937500,5
dwsf_5region_spatial,2.5000,crop_center_50,oracle_best_candidate,0.993750,0.968750,5
dwsf_5region_spatial,2.5000,crop_top_left_50,bbox_confidence_select,0.987500,0.937500,5
dwsf_5region_spatial,2.5000,crop_top_left_50,bbox_similarity_select,0.987500,0.937500,5
dwsf_5region_spatial,2.5000,crop_top_left_50,global_decode,0.987500,0.937500,5
dwsf_5region_spatial,2.5000,crop_top_left_50,oracle_best_candidate,0.987500,0.937500,5
dwsf_5region_spatial,2.5000,jpeg_q20,bbox_confidence_select,0.893750,0.656250,5
dwsf_5region_spatial,2.5000,jpeg_q20,bbox_similarity_select,0.893750,0.656250,5
dwsf_5region_spatial,2.5000,jpeg_q20,global_decode,0.893750,0.656250,5
dwsf_5region_spatial,2.5000,jpeg_q20,oracle_best_candidate,0.893750,0.656250,5
dwsf_5region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,0.975000,0.875000,5
dwsf_5region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,0.975000,0.875000,5
dwsf_5region_spatial,2.5000,resize_0.25_jpeg_q50,global_decode,0.975000,0.875000,5
dwsf_5region_spatial,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,0.975000,0.875000,5
dwsf_5region_spatial,3.0000,crop_bottom_right_50,bbox_confidence_select,0.956250,0.875000,5
dwsf_5region_spatial,3.0000,crop_bottom_right_50,bbox_similarity_select,0.975000,0.906250,5
dwsf_5region_spatial,3.0000,crop_bottom_right_50,global_decode,0.968750,0.906250,5
dwsf_5region_spatial,3.0000,crop_bottom_right_50,oracle_best_candidate,0.987500,0.968750,5
dwsf_5region_spatial,3.0000,crop_center_50,bbox_confidence_select,0.987500,0.937500,5
dwsf_5region_spatial,3.0000,crop_center_50,bbox_similarity_select,0.987500,0.937500,5
dwsf_5region_spatial,3.0000,crop_center_50,global_decode,0.987500,0.937500,5
dwsf_5region_spatial,3.0000,crop_center_50,oracle_best_candidate,1.000000,1.000000,5
dwsf_5region_spatial,3.0000,crop_top_left_50,bbox_confidence_select,0.993750,0.968750,5
dwsf_5region_spatial,3.0000,crop_top_left_50,bbox_similarity_select,0.987500,0.937500,5
dwsf_5region_spatial,3.0000,crop_top_left_50,global_decode,0.987500,0.937500,5
dwsf_5region_spatial,3.0000,crop_top_left_50,oracle_best_candidate,0.993750,0.968750,5
dwsf_5region_spatial,3.0000,jpeg_q20,bbox_confidence_select,0.925000,0.687500,5
dwsf_5region_spatial,3.0000,jpeg_q20,bbox_similarity_select,0.925000,0.687500,5
dwsf_5region_spatial,3.0000,jpeg_q20,global_decode,0.918750,0.656250,5
dwsf_5region_spatial,3.0000,jpeg_q20,oracle_best_candidate,0.925000,0.687500,5
dwsf_5region_spatial,3.0000,resize_0.25_jpeg_q50,bbox_confidence_select,0.968750,0.843750,5
dwsf_5region_spatial,3.0000,resize_0.25_jpeg_q50,bbox_similarity_select,0.968750,0.843750,5
dwsf_5region_spatial,3.0000,resize_0.25_jpeg_q50,global_decode,0.968750,0.843750,5
dwsf_5region_spatial,3.0000,resize_0.25_jpeg_q50,oracle_best_candidate,0.968750,0.843750,5
single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,1.000000,1.000000,5
single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,1.000000,1.000000,5
single_center_50pct,2.5000,crop_bottom_right_50,global_decode,0.993750,0.968750,5
single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,1.000000,1.000000,5
single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,0.981250,0.906250,5
single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,0.981250,0.906250,5
single_center_50pct,2.5000,crop_center_50,global_decode,0.981250,0.906250,5
single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,0.981250,0.906250,5
single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,1.000000,1.000000,5
single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,1.000000,1.000000,5
single_center_50pct,2.5000,crop_top_left_50,global_decode,1.000000,1.000000,5
single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,1.000000,1.000000,5
single_center_50pct,2.5000,jpeg_q20,bbox_confidence_select,0.812500,0.500000,5
single_center_50pct,2.5000,jpeg_q20,bbox_similarity_select,0.812500,0.500000,5
single_center_50pct,2.5000,jpeg_q20,global_decode,0.712500,0.000000,5
single_center_50pct,2.5000,jpeg_q20,oracle_best_candidate,0.812500,0.500000,5
single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,0.968750,0.843750,5
single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,0.968750,0.843750,5
single_center_50pct,2.5000,resize_0.25_jpeg_q50,global_decode,0.968750,0.843750,5
single_center_50pct,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,0.968750,0.843750,5
single_center_50pct,3.0000,crop_bottom_right_50,bbox_confidence_select,1.000000,1.000000,5
single_center_50pct,3.0000,crop_bottom_right_50,bbox_similarity_select,1.000000,1.000000,5
single_center_50pct,3.0000,crop_bottom_right_50,global_decode,1.000000,1.000000,5
single_center_50pct,3.0000,crop_bottom_right_50,oracle_best_candidate,1.000000,1.000000,5
single_center_50pct,3.0000,crop_center_50,bbox_confidence_select,0.987500,0.937500,5
single_center_50pct,3.0000,crop_center_50,bbox_similarity_select,0.987500,0.937500,5
single_center_50pct,3.0000,crop_center_50,global_decode,0.987500,0.937500,5
single_center_50pct,3.0000,crop_center_50,oracle_best_candidate,0.987500,0.937500,5
single_center_50pct,3.0000,crop_top_left_50,bbox_confidence_select,1.000000,1.000000,5
single_center_50pct,3.0000,crop_top_left_50,bbox_similarity_select,1.000000,1.000000,5
single_center_50pct,3.0000,crop_top_left_50,global_decode,1.000000,1.000000,5
single_center_50pct,3.0000,crop_top_left_50,oracle_best_candidate,1.000000,1.000000,5
single_center_50pct,3.0000,jpeg_q20,bbox_confidence_select,0.906250,0.687500,5
single_center_50pct,3.0000,jpeg_q20,bbox_similarity_select,0.881250,0.562500,5
single_center_50pct,3.0000,jpeg_q20,global_decode,0.906250,0.687500,5
single_center_50pct,3.0000,jpeg_q20,oracle_best_candidate,0.906250,0.687500,5
single_center_50pct,3.0000,resize_0.25_jpeg_q50,bbox_confidence_select,0.950000,0.781250,5
single_center_50pct,3.0000,resize_0.25_jpeg_q50,bbox_similarity_select,0.950000,0.781250,5
single_center_50pct,3.0000,resize_0.25_jpeg_q50,global_decode,0.943750,0.781250,5
single_center_50pct,3.0000,resize_0.25_jpeg_q50,oracle_best_candidate,0.950000,0.781250,5
