code_mode,scheme,decode_method,payload_success_rate,codebook_top1_match_rate,codebook_strict_match_rate,mean_target_hamming,mean_hamming_margin
rep4_adjacent_8bit,dwsf_q50_s2.5,global_full_canvas,0.000000,0.375000,0.250000,17.000,2.125
rep4_adjacent_8bit,dwsf_q50_s2.5,must_mer_resize,0.250000,0.687500,0.500000,12.000,5.375
rep4_adjacent_8bit,dwsf_q50_s2.5,oracle_box_raw,0.250000,0.687500,0.531250,12.000,5.750
rep4_adjacent_8bit,dwsf_q50_s3.0,global_full_canvas,0.000000,0.375000,0.250000,16.906,2.562
rep4_adjacent_8bit,dwsf_q50_s3.0,must_mer_resize,0.281250,0.687500,0.531250,11.375,6.000
rep4_adjacent_8bit,dwsf_q50_s3.0,oracle_box_raw,0.250000,0.718750,0.531250,11.500,5.875
rep4_adjacent_8bit,full_material_s2.5,global_full_canvas,0.000000,0.375000,0.250000,16.938,2.375
rep4_adjacent_8bit,full_material_s2.5,must_mer_resize,0.250000,0.781250,0.531250,11.531,6.062
rep4_adjacent_8bit,full_material_s2.5,oracle_box_raw,0.250000,0.718750,0.562500,11.438,6.500
rep4_adjacent_8bit,full_material_s3.0,global_full_canvas,0.000000,0.375000,0.187500,17.156,1.562
rep4_adjacent_8bit,full_material_s3.0,must_mer_resize,0.250000,0.718750,0.531250,11.344,6.562
rep4_adjacent_8bit,full_material_s3.0,oracle_box_raw,0.250000,0.718750,0.562500,11.469,6.438
rep4_adjacent_8bit,single_center50_s2.5,global_full_canvas,0.000000,0.375000,0.187500,16.969,1.875
rep4_adjacent_8bit,single_center50_s2.5,must_mer_resize,0.250000,0.718750,0.531250,11.688,6.438
rep4_adjacent_8bit,single_center50_s2.5,oracle_box_raw,0.250000,0.750000,0.531250,11.469,6.125
rep4_interleaved_8bit,dwsf_q50_s2.5,global_full_canvas,0.000000,0.375000,0.218750,16.875,1.750
rep4_interleaved_8bit,dwsf_q50_s2.5,must_mer_resize,0.281250,0.562500,0.437500,12.094,5.750
rep4_interleaved_8bit,dwsf_q50_s2.5,oracle_box_raw,0.281250,0.625000,0.437500,12.062,5.750
rep4_interleaved_8bit,dwsf_q50_s3.0,global_full_canvas,0.000000,0.375000,0.156250,17.031,1.125
rep4_interleaved_8bit,dwsf_q50_s3.0,must_mer_resize,0.312500,0.562500,0.468750,11.844,6.375
rep4_interleaved_8bit,dwsf_q50_s3.0,oracle_box_raw,0.281250,0.562500,0.406250,12.094,5.938
rep4_interleaved_8bit,full_material_s2.5,global_full_canvas,0.000000,0.375000,0.250000,17.062,2.125
rep4_interleaved_8bit,full_material_s2.5,must_mer_resize,0.250000,0.593750,0.500000,11.188,6.562
rep4_interleaved_8bit,full_material_s2.5,oracle_box_raw,0.250000,0.625000,0.531250,11.094,6.750
rep4_interleaved_8bit,full_material_s3.0,global_full_canvas,0.000000,0.375000,0.218750,16.969,1.562
rep4_interleaved_8bit,full_material_s3.0,must_mer_resize,0.250000,0.625000,0.500000,11.281,6.562
rep4_interleaved_8bit,full_material_s3.0,oracle_box_raw,0.250000,0.625000,0.531250,11.031,6.750
rep4_interleaved_8bit,single_center50_s2.5,global_full_canvas,0.000000,0.375000,0.218750,17.125,1.938
rep4_interleaved_8bit,single_center50_s2.5,must_mer_resize,0.250000,0.562500,0.500000,11.469,6.062
rep4_interleaved_8bit,single_center50_s2.5,oracle_box_raw,0.250000,0.531250,0.468750,11.344,6.062
