image,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
alpaca.jpg,0.2500,none,01000110001000101101011111111101,00100110001000100001011101011101,0.812500,0,56.3669,56.3669,1005,0
alpaca.jpg,0.2500,jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,56.3669,26.7538,0,1
alpaca.jpg,0.2500,jpeg_q30,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,56.3669,25.7809,0,1
alpaca.jpg,0.2500,jpeg_q20,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,56.3669,24.8396,0,1
alpaca.jpg,0.2500,resize_0.5,01000110001000101101011111111101,00100110001000100001011101011101,0.812500,0,56.3669,23.8802,1972,0
alpaca.jpg,0.2500,resize_0.25,01000110001000101101011111111101,00100110001000100001011101011101,0.812500,0,56.3669,19.7842,1980,0
alpaca.jpg,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100100001000100001011001011101,0.750000,0,56.3669,19.7271,121,0
alpaca.jpg,0.2500,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,56.3669,9.5403,0,1
ducks.jpg,0.2500,none,01000110001000101101011111111101,00000110101010101001011100000101,0.718750,0,61.2996,61.2996,745,0
ducks.jpg,0.2500,jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,61.2996,34.2532,0,1
ducks.jpg,0.2500,jpeg_q30,01000110001000101101011111111101,00110100100001010001010011000000,0.437500,0,61.2996,32.8253,95,0
ducks.jpg,0.2500,jpeg_q20,01000110001000101101011111111101,01000110101000101101011111110101,0.937500,0,61.2996,31.4485,2821,0
ducks.jpg,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,61.2996,34.2752,14892,0
ducks.jpg,0.2500,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,61.2996,29.3685,15012,0
ducks.jpg,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,61.2996,28.9552,0,1
ducks.jpg,0.2500,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,61.2996,10.8306,0,1
gauguin_256.jpg,0.2500,none,01000110001000101101011111111101,00100000000010001001000000000010,0.406250,0,59.9940,59.9940,1013,0
gauguin_256.jpg,0.2500,jpeg_q50,01000110001000101101011111111101,10000001111010001101000011000101,0.531250,0,59.9940,31.7663,3113,0
gauguin_256.jpg,0.2500,jpeg_q30,01000110001000101101011111111101,00010000001000011010001000000001,0.468750,0,59.9940,30.0102,2730,0
gauguin_256.jpg,0.2500,jpeg_q20,01000110001000101101011111111101,00001010111000010001000100000101,0.500000,0,59.9940,28.6495,2388,0
gauguin_256.jpg,0.2500,resize_0.5,01000110001000101101011111111101,00100110001000100001001111000001,0.718750,0,59.9940,33.7947,2588,0
gauguin_256.jpg,0.2500,resize_0.25,01000110001000101101011111111101,10100110001000101001001110000001,0.687500,0,59.9940,28.9816,2595,0
gauguin_256.jpg,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.9940,27.9528,0,1
gauguin_256.jpg,0.2500,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.9940,13.0444,0,1
seabackground.jpg,0.2500,none,01000110001000101101011111111101,01000110001000101001011111111101,0.968750,0,59.0275,59.0275,15442,0
seabackground.jpg,0.2500,jpeg_q50,01000110001000101101011111111101,00000000000000000000000010000110,0.468750,0,59.0275,27.4096,419,0
seabackground.jpg,0.2500,jpeg_q30,01000110001000101101011111111101,00000000000000000010000001010001,0.500000,0,59.0275,25.2696,587,0
seabackground.jpg,0.2500,jpeg_q20,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0275,23.8363,0,1
seabackground.jpg,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,59.0275,21.6016,27664,0
seabackground.jpg,0.2500,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,59.0275,20.7385,27349,0
seabackground.jpg,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000001,0.468750,0,59.0275,20.6859,578,0
seabackground.jpg,0.2500,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0275,14.4153,0,1
trex_bike.jpg,0.2500,none,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0758,59.0758,0,1
trex_bike.jpg,0.2500,jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0758,31.7588,0,1
trex_bike.jpg,0.2500,jpeg_q30,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0758,29.9752,0,1
trex_bike.jpg,0.2500,jpeg_q20,01000110001000101101011111111101,00000000000000000000000000000000,0.437500,0,59.0758,28.6435,137,0
trex_bike.jpg,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,59.0758,28.8023,13168,0
trex_bike.jpg,0.2500,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,59.0758,24.7913,12154,0
trex_bike.jpg,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000001001110010000,0.593750,0,59.0758,24.5882,322,0
trex_bike.jpg,0.2500,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,59.0758,11.1400,0,1
alpaca.jpg,0.5000,none,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,50.3503,50.3503,27963,0
alpaca.jpg,0.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101001011111111101,0.968750,0,50.3503,26.7418,22921,0
alpaca.jpg,0.5000,jpeg_q30,01000110001000101101011111111101,01000110001000101001011111011101,0.937500,0,50.3503,25.7721,20472,0
alpaca.jpg,0.5000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,50.3503,24.8323,16326,0
alpaca.jpg,0.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,50.3503,23.8736,25592,0
alpaca.jpg,0.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,50.3503,19.7817,25586,0
alpaca.jpg,0.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,50.3503,19.7250,24128,0
alpaca.jpg,0.5000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,50.3503,9.5403,0,1
ducks.jpg,0.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,55.2845,55.2845,16975,0
ducks.jpg,0.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,55.2845,34.2394,6782,0
ducks.jpg,0.5000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111100101,0.937500,0,55.2845,32.8154,8590,0
ducks.jpg,0.5000,jpeg_q20,01000110001000101101011111111101,01000110101000101101011111110101,0.937500,0,55.2845,31.4416,5404,0
ducks.jpg,0.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,55.2845,34.2598,18277,0
ducks.jpg,0.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,55.2845,29.3639,18315,0
ducks.jpg,0.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,55.2845,28.9523,10907,0
ducks.jpg,0.5000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,55.2845,10.8307,0,1
gauguin_256.jpg,0.5000,none,01000110001000101101011111111101,00000110000000001101011111000001,0.781250,0,53.9736,53.9736,1552,0
gauguin_256.jpg,0.5000,jpeg_q50,01000110001000101101011111111101,00000001110010000001010001000101,0.468750,0,53.9736,31.7702,3876,0
gauguin_256.jpg,0.5000,jpeg_q30,01000110001000101101011111111101,00010000101100011010011000000000,0.406250,0,53.9736,30.0099,120,0
gauguin_256.jpg,0.5000,jpeg_q20,01000110001000101101011111111101,00001000101000000011000100000001,0.468750,0,53.9736,28.6432,3434,0
gauguin_256.jpg,0.5000,resize_0.5,01000110001000101101011111111101,00100110001000101101011111100001,0.843750,0,53.9736,33.7815,5222,0
gauguin_256.jpg,0.5000,resize_0.25,01000110001000101101011111111101,00100110001000101001001110010001,0.750000,0,53.9736,28.9787,3836,0
gauguin_256.jpg,0.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.9736,27.9467,0,1
gauguin_256.jpg,0.5000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.9736,13.0445,0,1
seabackground.jpg,0.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,53.0075,53.0075,31995,0
seabackground.jpg,0.5000,jpeg_q50,01000110001000101101011111111101,10000110000000101001011011010101,0.781250,0,53.0075,27.4069,119,0
seabackground.jpg,0.5000,jpeg_q30,01000110001000101101011111111101,00000000000000000010000001000000,0.437500,0,53.0075,25.2686,846,0
seabackground.jpg,0.5000,jpeg_q20,01000110001000101101011111111101,00000011000000000001000000000111,0.500000,0,53.0075,23.8356,571,0
seabackground.jpg,0.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,53.0075,21.6000,32144,0
seabackground.jpg,0.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,53.0075,20.7377,32082,0
seabackground.jpg,0.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000000000000000010000000000000,0.406250,0,53.0075,20.6864,302,0
seabackground.jpg,0.5000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.0075,14.4150,0,1
trex_bike.jpg,0.5000,none,01000110001000101101011111111101,01000110001000101101011111110100,0.937500,0,53.0574,53.0574,11321,0
trex_bike.jpg,0.5000,jpeg_q50,01000110001000101101011111111101,00000000000001000011010010010000,0.500000,0,53.0574,31.7407,1514,0
trex_bike.jpg,0.5000,jpeg_q30,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.0574,29.9652,0,1
trex_bike.jpg,0.5000,jpeg_q20,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.0574,28.6402,0,1
trex_bike.jpg,0.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,53.0574,28.7924,26488,0
trex_bike.jpg,0.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,53.0574,24.7882,25852,0
trex_bike.jpg,0.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,00000010000000000011011110010001,0.656250,0,53.0574,24.5878,1997,0
trex_bike.jpg,0.5000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,53.0574,11.1401,0,1
alpaca.jpg,1.0000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,44.3405,32712,0
alpaca.jpg,1.0000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,26.6953,32647,0
alpaca.jpg,1.0000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,25.7359,32763,0
alpaca.jpg,1.0000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,24.8051,31925,0
alpaca.jpg,1.0000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,23.8455,32709,0
alpaca.jpg,1.0000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,19.7710,32715,0
alpaca.jpg,1.0000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,44.3405,19.7154,32656,0
alpaca.jpg,1.0000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,44.3405,9.5394,0,1
ducks.jpg,1.0000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,49.2790,31123,0
ducks.jpg,1.0000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,34.1636,28502,0
ducks.jpg,1.0000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,32.7687,28163,0
ducks.jpg,1.0000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,31.4109,12188,0
ducks.jpg,1.0000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,34.1676,31133,0
ducks.jpg,1.0000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,29.3355,31168,0
ducks.jpg,1.0000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,49.2790,28.9303,30711,0
ducks.jpg,1.0000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,49.2790,10.8305,0,1
gauguin_256.jpg,1.0000,none,01000110001000101101011111111101,01000110001000101101011111110101,0.968750,0,47.9538,47.9538,31584,0
gauguin_256.jpg,1.0000,jpeg_q50,01000110001000101101011111111101,10000010110000000101010011000101,0.593750,0,47.9538,31.7304,7305,0
gauguin_256.jpg,1.0000,jpeg_q30,01000110001000101101011111111101,00010000101100001100011011000001,0.593750,0,47.9538,30.0147,8375,0
gauguin_256.jpg,1.0000,jpeg_q20,01000110001000101101011111111101,00000000101000100001000110000001,0.593750,0,47.9538,28.6320,5385,0
gauguin_256.jpg,1.0000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111100101,0.937500,0,47.9538,33.7081,31762,0
