scheme,selector,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,black_center_40,1.000000,1.000000,1.000000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_bottom_right_50,0.950000,0.750000,0.800000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_center_50,0.968750,0.906250,0.600000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_top_left_50,0.925000,0.875000,0.000000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,jpeg_q20,0.881250,0.625000,0.600000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,jpeg_q30,0.925000,0.625000,0.800000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,none,1.000000,1.000000,1.000000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,remove_center_40,0.993750,0.968750,0.800000,41.0139,5
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,resize_0.25_jpeg_q50,0.943750,0.718750,0.800000,41.0139,5
adaptive_q30_5block_low_residual,low_residual,black_center_40,1.000000,1.000000,1.000000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,crop_bottom_right_50,0.943750,0.875000,0.400000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,crop_center_50,0.868750,0.656250,0.200000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,crop_top_left_50,0.925000,0.812500,0.400000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,jpeg_q20,0.675000,0.000000,0.400000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,jpeg_q30,0.812500,0.500000,0.400000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,none,1.000000,1.000000,1.000000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,remove_center_40,1.000000,1.000000,1.000000,43.6530,5
adaptive_q30_5block_low_residual,low_residual,resize_0.25_jpeg_q50,0.900000,0.562500,0.400000,43.6530,5
adaptive_q30_5block_random,random,black_center_40,1.000000,1.000000,1.000000,41.5479,5
adaptive_q30_5block_random,random,crop_bottom_right_50,0.900000,0.687500,0.400000,41.5479,5
adaptive_q30_5block_random,random,crop_center_50,0.925000,0.750000,0.400000,41.5479,5
adaptive_q30_5block_random,random,crop_top_left_50,0.950000,0.812500,0.600000,41.5479,5
adaptive_q30_5block_random,random,jpeg_q20,0.706250,0.000000,0.400000,41.5479,5
adaptive_q30_5block_random,random,jpeg_q30,0.893750,0.531250,0.600000,41.5479,5
adaptive_q30_5block_random,random,none,1.000000,1.000000,1.000000,41.5479,5
adaptive_q30_5block_random,random,remove_center_40,1.000000,1.000000,1.000000,41.5479,5
adaptive_q30_5block_random,random,resize_0.25_jpeg_q50,0.925000,0.656250,0.600000,41.5479,5
adaptive_q30_5block_texture_top,texture_top,black_center_40,1.000000,1.000000,1.000000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,crop_bottom_right_50,0.981250,0.906250,0.800000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,crop_center_50,0.950000,0.812500,0.400000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,crop_top_left_50,0.956250,0.875000,0.400000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,jpeg_q20,0.731250,0.000000,0.600000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,jpeg_q30,0.931250,0.750000,0.600000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,none,1.000000,1.000000,1.000000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,remove_center_40,1.000000,1.000000,1.000000,40.1578,5
adaptive_q30_5block_texture_top,texture_top,resize_0.25_jpeg_q50,0.937500,0.687500,0.800000,40.1578,5
fixed_q30_5block,fixed_anchor,black_center_40,1.000000,1.000000,1.000000,42.0139,5
fixed_q30_5block,fixed_anchor,crop_bottom_right_50,0.956250,0.875000,0.400000,42.0139,5
fixed_q30_5block,fixed_anchor,crop_center_50,0.931250,0.781250,0.600000,42.0139,5
fixed_q30_5block,fixed_anchor,crop_top_left_50,0.906250,0.843750,0.200000,42.0139,5
fixed_q30_5block,fixed_anchor,jpeg_q20,0.906250,0.687500,0.600000,42.0139,5
fixed_q30_5block,fixed_anchor,jpeg_q30,0.912500,0.562500,0.800000,42.0139,5
fixed_q30_5block,fixed_anchor,none,1.000000,1.000000,1.000000,42.0139,5
fixed_q30_5block,fixed_anchor,remove_center_40,1.000000,1.000000,1.000000,42.0139,5
fixed_q30_5block,fixed_anchor,resize_0.25_jpeg_q50,0.950000,0.750000,0.800000,42.0139,5
