image,scheme,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
alpaca.jpg,single_center_50pct,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,40.8205,32714,0
alpaca.jpg,single_center_50pct,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,46.4559,7896,0
alpaca.jpg,single_center_50pct,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,9.6625,33280,0
alpaca.jpg,single_center_50pct,1.5000,crop_top_left_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,8.8419,23944,0
alpaca.jpg,single_center_50pct,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00110001001000110111101001101011,0.937500,0,40.8205,9.9101,30799,0
alpaca.jpg,single_center_50pct,1.5000,crop_center_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,9.5373,60128,0
alpaca.jpg,single_center_50pct,1.5000,jpeg_q30,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,25.6752,32614,0
alpaca.jpg,single_center_50pct,1.5000,jpeg_q20,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,24.7576,32428,0
alpaca.jpg,single_center_50pct,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,40.8205,19.6990,32716,0
alpaca.jpg,dwsf_5region_spatial,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,41.2982,32846,0
alpaca.jpg,dwsf_5region_spatial,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,42.7009,21773,0
alpaca.jpg,dwsf_5region_spatial,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,9.6612,25155,0
alpaca.jpg,dwsf_5region_spatial,1.5000,crop_top_left_50,00110001101000110111100001101011,00110000001000110111100001000011,0.875000,0,41.2982,8.8425,16934,0
alpaca.jpg,dwsf_5region_spatial,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00010001000000110111110001001101,0.781250,0,41.2982,9.9122,23335,0
alpaca.jpg,dwsf_5region_spatial,1.5000,crop_center_50,00110001101000110111100001101011,00110001001000110111100001101011,0.968750,0,41.2982,9.5332,22478,0
alpaca.jpg,dwsf_5region_spatial,1.5000,jpeg_q30,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,25.6902,32239,0
alpaca.jpg,dwsf_5region_spatial,1.5000,jpeg_q20,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,24.7698,32507,0
alpaca.jpg,dwsf_5region_spatial,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,41.2982,19.7028,32855,0
ducks.jpg,single_center_50pct,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,45.3335,31910,0
ducks.jpg,single_center_50pct,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,50.5342,4795,0
ducks.jpg,single_center_50pct,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001100001,0.937500,0,45.3335,9.1613,28790,0
ducks.jpg,single_center_50pct,1.5000,crop_top_left_50,00110001101000110111100001101011,00010000001000110111000001000011,0.812500,0,45.3335,10.2724,8143,0
ducks.jpg,single_center_50pct,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,11.3062,31239,0
ducks.jpg,single_center_50pct,1.5000,crop_center_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,10.8318,37757,0
ducks.jpg,single_center_50pct,1.5000,jpeg_q30,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,32.6685,30089,0
ducks.jpg,single_center_50pct,1.5000,jpeg_q20,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,31.3430,28633,0
ducks.jpg,single_center_50pct,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.3335,28.8811,31147,0
ducks.jpg,dwsf_5region_spatial,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,46.5072,29464,0
ducks.jpg,dwsf_5region_spatial,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,47.6968,19121,0
ducks.jpg,dwsf_5region_spatial,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,9.1610,18435,0
ducks.jpg,dwsf_5region_spatial,1.5000,crop_top_left_50,00110001101000110111100001101011,10110101001001111011000001000011,0.718750,0,46.5072,10.2701,6695,0
ducks.jpg,dwsf_5region_spatial,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,11.3085,10794,0
ducks.jpg,dwsf_5region_spatial,1.5000,crop_center_50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,10.8270,19275,0
ducks.jpg,dwsf_5region_spatial,1.5000,jpeg_q30,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,32.7112,23789,0
ducks.jpg,dwsf_5region_spatial,1.5000,jpeg_q20,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,31.3620,24663,0
ducks.jpg,dwsf_5region_spatial,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,46.5072,28.9015,28794,0
gauguin_256.jpg,single_center_50pct,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,44.4794,44.4794,34305,0
gauguin_256.jpg,single_center_50pct,1.5000,remove_center_40,00110001101000110111100001101011,00110001100000110111101001101011,0.937500,0,44.4794,49.2009,10041,0
gauguin_256.jpg,single_center_50pct,1.5000,black_center_40,00110001101000110111100001101011,00111001101000110111101000101011,0.906250,0,44.4794,10.5038,5338,0
gauguin_256.jpg,single_center_50pct,1.5000,crop_top_left_50,00110001101000110111100001101011,00000001000000100111100001000001,0.750000,0,44.4794,10.6088,40671,0
gauguin_256.jpg,single_center_50pct,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00000000001000000010000000000000,0.562500,0,44.4794,11.6830,4017,0
gauguin_256.jpg,single_center_50pct,1.5000,crop_center_50,00110001101000110111100001101011,00000100000101010011100011100000,0.562500,0,44.4794,13.0398,5747,0
gauguin_256.jpg,single_center_50pct,1.5000,jpeg_q30,00110001101000110111100001101011,00110000001000001110110000000010,0.656250,0,44.4794,29.9962,6450,0
gauguin_256.jpg,single_center_50pct,1.5000,jpeg_q20,00110001101000110111100001101011,10000000001000110101000010000001,0.625000,0,44.4794,28.6266,10821,0
gauguin_256.jpg,single_center_50pct,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,00110001000000100111010000000001,0.718750,0,44.4794,27.9417,20430,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.0877,45.0877,32590,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.0877,46.0999,21140,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,45.0877,10.5032,27306,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,crop_top_left_50,00110001101000110111100001101011,00101001001000110111000001001001,0.812500,0,45.0877,10.6119,41154,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00000001010100110001010001010101,0.531250,0,45.0877,11.6856,15204,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,crop_center_50,00110001101000110111100001101011,01100100000000010011100001000000,0.625000,0,45.0877,13.0470,5248,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,jpeg_q30,00110001101000110111100001101011,10010001101100011110100001000011,0.750000,0,45.0877,29.9989,10901,0
gauguin_256.jpg,dwsf_5region_spatial,1.5000,jpeg_q20,00110001101000110111100001101011,10000001101000001111100100000001,0.656250,0,45.0877,28.6348,9830,0
