scheme,scaling_w,attack,mean_bit_accuracy,min_bit_accuracy,mean_psnr_watermarked,num_images
dwsf_5region_spatial,1.5000,black_center_40,1.000000,1.000000,44.1913,5
dwsf_5region_spatial,1.5000,crop_bottom_right_50,0.787500,0.531250,44.1913,5
dwsf_5region_spatial,1.5000,crop_center_50,0.868750,0.625000,44.1913,5
dwsf_5region_spatial,1.5000,crop_top_left_50,0.831250,0.718750,44.1913,5
dwsf_5region_spatial,1.5000,jpeg_q20,0.806250,0.531250,44.1913,5
dwsf_5region_spatial,1.5000,jpeg_q30,0.925000,0.750000,44.1913,5
dwsf_5region_spatial,1.5000,none,1.000000,1.000000,44.1913,5
dwsf_5region_spatial,1.5000,remove_center_40,1.000000,1.000000,44.1913,5
dwsf_5region_spatial,1.5000,resize_0.25_jpeg_q50,0.962500,0.875000,44.1913,5
dwsf_5region_spatial,2.0000,black_center_40,1.000000,1.000000,41.7007,5
dwsf_5region_spatial,2.0000,crop_bottom_right_50,0.875000,0.687500,41.7007,5
dwsf_5region_spatial,2.0000,crop_center_50,0.956250,0.781250,41.7007,5
dwsf_5region_spatial,2.0000,crop_top_left_50,0.937500,0.843750,41.7007,5
dwsf_5region_spatial,2.0000,jpeg_q20,0.837500,0.531250,41.7007,5
dwsf_5region_spatial,2.0000,jpeg_q30,0.937500,0.750000,41.7007,5
dwsf_5region_spatial,2.0000,none,1.000000,1.000000,41.7007,5
dwsf_5region_spatial,2.0000,remove_center_40,1.000000,1.000000,41.7007,5
dwsf_5region_spatial,2.0000,resize_0.25_jpeg_q50,0.962500,0.812500,41.7007,5
dwsf_5region_spatial,2.5000,black_center_40,1.000000,1.000000,39.7711,5
dwsf_5region_spatial,2.5000,crop_bottom_right_50,0.943750,0.875000,39.7711,5
dwsf_5region_spatial,2.5000,crop_center_50,0.975000,0.875000,39.7711,5
dwsf_5region_spatial,2.5000,crop_top_left_50,0.968750,0.906250,39.7711,5
dwsf_5region_spatial,2.5000,jpeg_q20,0.887500,0.562500,39.7711,5
dwsf_5region_spatial,2.5000,jpeg_q30,0.962500,0.875000,39.7711,5
dwsf_5region_spatial,2.5000,none,1.000000,1.000000,39.7711,5
dwsf_5region_spatial,2.5000,remove_center_40,1.000000,1.000000,39.7711,5
dwsf_5region_spatial,2.5000,resize_0.25_jpeg_q50,0.975000,0.875000,39.7711,5
dwsf_5region_spatial,3.0000,black_center_40,1.000000,1.000000,38.1964,5
dwsf_5region_spatial,3.0000,crop_bottom_right_50,0.962500,0.906250,38.1964,5
dwsf_5region_spatial,3.0000,crop_center_50,0.975000,0.875000,38.1964,5
dwsf_5region_spatial,3.0000,crop_top_left_50,0.981250,0.968750,38.1964,5
dwsf_5region_spatial,3.0000,jpeg_q20,0.900000,0.625000,38.1964,5
dwsf_5region_spatial,3.0000,jpeg_q30,0.975000,0.937500,38.1964,5
dwsf_5region_spatial,3.0000,none,1.000000,1.000000,38.1964,5
dwsf_5region_spatial,3.0000,remove_center_40,1.000000,1.000000,38.1964,5
dwsf_5region_spatial,3.0000,resize_0.25_jpeg_q50,0.993750,0.968750,38.1964,5
single_center_50pct,1.5000,black_center_40,0.931250,0.812500,43.5495,5
single_center_50pct,1.5000,crop_bottom_right_50,0.806250,0.531250,43.5495,5
single_center_50pct,1.5000,crop_center_50,0.881250,0.562500,43.5495,5
single_center_50pct,1.5000,crop_top_left_50,0.900000,0.750000,43.5495,5
single_center_50pct,1.5000,jpeg_q20,0.712500,0.000000,43.5495,5
single_center_50pct,1.5000,jpeg_q30,0.862500,0.656250,43.5495,5
single_center_50pct,1.5000,none,1.000000,1.000000,43.5495,5
single_center_50pct,1.5000,remove_center_40,0.975000,0.937500,43.5495,5
single_center_50pct,1.5000,resize_0.25_jpeg_q50,0.931250,0.718750,43.5495,5
single_center_50pct,2.0000,black_center_40,0.968750,0.906250,41.0591,5
single_center_50pct,2.0000,crop_bottom_right_50,0.931250,0.781250,41.0591,5
single_center_50pct,2.0000,crop_center_50,0.950000,0.843750,41.0591,5
single_center_50pct,2.0000,crop_top_left_50,0.925000,0.843750,41.0591,5
single_center_50pct,2.0000,jpeg_q20,0.731250,0.000000,41.0591,5
single_center_50pct,2.0000,jpeg_q30,0.906250,0.625000,41.0591,5
single_center_50pct,2.0000,none,1.000000,1.000000,41.0591,5
single_center_50pct,2.0000,remove_center_40,0.987500,0.937500,41.0591,5
single_center_50pct,2.0000,resize_0.25_jpeg_q50,0.931250,0.718750,41.0591,5
single_center_50pct,2.5000,black_center_40,0.981250,0.937500,39.1293,5
single_center_50pct,2.5000,crop_bottom_right_50,0.968750,0.937500,39.1293,5
single_center_50pct,2.5000,crop_center_50,0.975000,0.906250,39.1293,5
single_center_50pct,2.5000,crop_top_left_50,0.975000,0.937500,39.1293,5
single_center_50pct,2.5000,jpeg_q20,0.868750,0.656250,39.1293,5
single_center_50pct,2.5000,jpeg_q30,0.950000,0.812500,39.1293,5
single_center_50pct,2.5000,none,1.000000,1.000000,39.1293,5
single_center_50pct,2.5000,remove_center_40,0.987500,0.937500,39.1293,5
single_center_50pct,2.5000,resize_0.25_jpeg_q50,0.956250,0.781250,39.1293,5
single_center_50pct,3.0000,black_center_40,0.981250,0.906250,37.5542,5
single_center_50pct,3.0000,crop_bottom_right_50,0.975000,0.937500,37.5542,5
single_center_50pct,3.0000,crop_center_50,0.975000,0.906250,37.5542,5
single_center_50pct,3.0000,crop_top_left_50,0.987500,0.968750,37.5542,5
single_center_50pct,3.0000,jpeg_q20,0.887500,0.687500,37.5542,5
single_center_50pct,3.0000,jpeg_q30,0.950000,0.812500,37.5542,5
single_center_50pct,3.0000,none,1.000000,1.000000,37.5542,5
single_center_50pct,3.0000,remove_center_40,0.987500,0.937500,37.5542,5
single_center_50pct,3.0000,resize_0.25_jpeg_q50,0.962500,0.812500,37.5542,5
