scheme,area_percent,block_count,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
dwsf_q10_5block,10,5,black_center_40,0.981250,0.937500,0.600000,47.2094,5
dwsf_q10_5block,10,5,crop_bottom_right_50,0.700000,0.531250,0.000000,47.2094,5
dwsf_q10_5block,10,5,crop_center_50,0.793750,0.593750,0.000000,47.2094,5
dwsf_q10_5block,10,5,crop_top_left_50,0.618750,0.531250,0.000000,47.2094,5
dwsf_q10_5block,10,5,jpeg_q20,0.681250,0.000000,0.400000,47.2094,5
dwsf_q10_5block,10,5,jpeg_q30,0.850000,0.562500,0.200000,47.2094,5
dwsf_q10_5block,10,5,none,0.975000,0.906250,0.600000,47.2094,5
dwsf_q10_5block,10,5,remove_center_40,0.981250,0.937500,0.600000,47.2094,5
dwsf_q10_5block,10,5,resize_0.25_jpeg_q50,0.918750,0.718750,0.400000,47.2094,5
dwsf_q10_9block,10,9,black_center_40,0.962500,0.875000,0.400000,46.7827,5
dwsf_q10_9block,10,9,crop_bottom_right_50,0.668750,0.593750,0.000000,46.7827,5
dwsf_q10_9block,10,9,crop_center_50,0.750000,0.656250,0.000000,46.7827,5
dwsf_q10_9block,10,9,crop_top_left_50,0.593750,0.468750,0.000000,46.7827,5
dwsf_q10_9block,10,9,jpeg_q20,0.768750,0.593750,0.000000,46.7827,5
dwsf_q10_9block,10,9,jpeg_q30,0.818750,0.625000,0.000000,46.7827,5
dwsf_q10_9block,10,9,none,0.975000,0.937500,0.600000,46.7827,5
dwsf_q10_9block,10,9,remove_center_40,0.956250,0.906250,0.400000,46.7827,5
dwsf_q10_9block,10,9,resize_0.25_jpeg_q50,0.925000,0.781250,0.400000,46.7827,5
dwsf_q20_5block,20,5,black_center_40,1.000000,1.000000,1.000000,43.9523,5
dwsf_q20_5block,20,5,crop_bottom_right_50,0.881250,0.687500,0.200000,43.9523,5
dwsf_q20_5block,20,5,crop_center_50,0.918750,0.843750,0.000000,43.9523,5
dwsf_q20_5block,20,5,crop_top_left_50,0.812500,0.718750,0.000000,43.9523,5
dwsf_q20_5block,20,5,jpeg_q20,0.862500,0.656250,0.400000,43.9523,5
dwsf_q20_5block,20,5,jpeg_q30,0.925000,0.625000,0.800000,43.9523,5
dwsf_q20_5block,20,5,none,1.000000,1.000000,1.000000,43.9523,5
dwsf_q20_5block,20,5,remove_center_40,1.000000,1.000000,1.000000,43.9523,5
dwsf_q20_5block,20,5,resize_0.25_jpeg_q50,0.956250,0.812500,0.600000,43.9523,5
dwsf_q20_9block,20,9,black_center_40,1.000000,1.000000,1.000000,43.7132,5
dwsf_q20_9block,20,9,crop_bottom_right_50,0.881250,0.812500,0.000000,43.7132,5
dwsf_q20_9block,20,9,crop_center_50,0.825000,0.656250,0.000000,43.7132,5
dwsf_q20_9block,20,9,crop_top_left_50,0.743750,0.625000,0.000000,43.7132,5
dwsf_q20_9block,20,9,jpeg_q20,0.831250,0.593750,0.400000,43.7132,5
dwsf_q20_9block,20,9,jpeg_q30,0.875000,0.687500,0.400000,43.7132,5
dwsf_q20_9block,20,9,none,1.000000,1.000000,1.000000,43.7132,5
dwsf_q20_9block,20,9,remove_center_40,1.000000,1.000000,1.000000,43.7132,5
dwsf_q20_9block,20,9,resize_0.25_jpeg_q50,0.950000,0.843750,0.400000,43.7132,5
dwsf_q25_5block,25,5,black_center_40,1.000000,1.000000,1.000000,42.9056,5
dwsf_q25_5block,25,5,crop_bottom_right_50,0.975000,0.906250,0.600000,42.9056,5
dwsf_q25_5block,25,5,crop_center_50,0.950000,0.875000,0.400000,42.9056,5
dwsf_q25_5block,25,5,crop_top_left_50,0.887500,0.750000,0.000000,42.9056,5
dwsf_q25_5block,25,5,jpeg_q20,0.868750,0.656250,0.600000,42.9056,5
dwsf_q25_5block,25,5,jpeg_q30,0.943750,0.718750,0.800000,42.9056,5
dwsf_q25_5block,25,5,none,1.000000,1.000000,1.000000,42.9056,5
