attack,method,mean_bit_accuracy,min_bit_accuracy,num_images
jpeg_q95,baseline_identity,1.000000,1.000000,5
jpeg_q95,mbrs_confidence_select,1.000000,1.000000,5
jpeg_q95,mbrs_similarity_select,1.000000,1.000000,5
jpeg_q95,oracle_best_branch,1.000000,1.000000,5
jpeg_q85,baseline_identity,0.981250,0.906250,5
jpeg_q85,mbrs_confidence_select,0.981250,0.906250,5
jpeg_q85,mbrs_similarity_select,0.981250,0.906250,5
jpeg_q85,oracle_best_branch,0.981250,0.906250,5
jpeg_q75,baseline_identity,0.993750,0.968750,5
jpeg_q75,mbrs_confidence_select,0.993750,0.968750,5
jpeg_q75,mbrs_similarity_select,0.993750,0.968750,5
jpeg_q75,oracle_best_branch,0.993750,0.968750,5
jpeg_q65,baseline_identity,0.975000,0.875000,5
jpeg_q65,mbrs_confidence_select,0.975000,0.875000,5
jpeg_q65,mbrs_similarity_select,0.975000,0.875000,5
jpeg_q65,oracle_best_branch,0.981250,0.906250,5
jpeg_q50,baseline_identity,0.968750,0.843750,5
jpeg_q50,mbrs_confidence_select,0.968750,0.843750,5
jpeg_q50,mbrs_similarity_select,0.968750,0.843750,5
jpeg_q50,oracle_best_branch,0.975000,0.875000,5
jpeg_q30,baseline_identity,0.962500,0.812500,5
jpeg_q30,mbrs_confidence_select,0.962500,0.812500,5
jpeg_q30,mbrs_similarity_select,0.962500,0.812500,5
jpeg_q30,oracle_best_branch,0.962500,0.812500,5
jpeg_q20,baseline_identity,0.850000,0.500000,5
jpeg_q20,mbrs_confidence_select,0.868750,0.593750,5
jpeg_q20,mbrs_similarity_select,0.868750,0.593750,5
jpeg_q20,oracle_best_branch,0.881250,0.593750,5
resize_0.75_jpeg_q50,baseline_identity,0.962500,0.812500,5
resize_0.75_jpeg_q50,mbrs_confidence_select,0.968750,0.843750,5
resize_0.75_jpeg_q50,mbrs_similarity_select,0.962500,0.812500,5
resize_0.75_jpeg_q50,oracle_best_branch,0.981250,0.906250,5
resize_0.5_jpeg_q50,baseline_identity,0.981250,0.906250,5
resize_0.5_jpeg_q50,mbrs_confidence_select,0.981250,0.906250,5
resize_0.5_jpeg_q50,mbrs_similarity_select,0.981250,0.906250,5
resize_0.5_jpeg_q50,oracle_best_branch,0.987500,0.937500,5
resize_0.25_jpeg_q50,baseline_identity,0.943750,0.718750,5
resize_0.25_jpeg_q50,mbrs_confidence_select,0.943750,0.718750,5
resize_0.25_jpeg_q50,mbrs_similarity_select,0.943750,0.718750,5
resize_0.25_jpeg_q50,oracle_best_branch,0.950000,0.750000,5
jpeg_q50_then_q30,baseline_identity,0.956250,0.781250,5
jpeg_q50_then_q30,mbrs_confidence_select,0.956250,0.781250,5
jpeg_q50_then_q30,mbrs_similarity_select,0.956250,0.781250,5
jpeg_q50_then_q30,oracle_best_branch,0.962500,0.812500,5
