code_mode,scheme,scenario,attack,decode_method,mean_payload_accuracy,payload_success_rate,codebook_top1_match_rate,codebook_strict_match_rate,mean_target_hamming,mean_best_hamming,mean_hamming_margin,num_source_rows
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.458333,0.000000,0.333333,0.000000,16.333,16.333,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.583333,0.000000,0.666667,0.333333,14.667,14.667,2.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.583333,0.000000,0.666667,0.333333,14.333,14.333,2.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.583333,0.000000,0.666667,0.333333,14.333,14.333,2.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,none,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.667,17.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.541667,0.000000,0.333333,0.333333,16.000,15.333,1.333,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.541667,0.000000,0.333333,0.333333,15.667,15.000,2.667,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.500000,0.000000,0.333333,0.333333,15.333,14.000,2.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.541667,0.000000,0.333333,0.333333,15.667,13.000,4.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.541667,0.000000,0.666667,0.333333,16.000,16.000,0.667,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.541667,0.000000,0.666667,0.333333,16.000,16.000,0.667,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.416667,0.000000,0.333333,0.333333,16.333,15.000,2.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.458333,0.000000,0.333333,0.333333,16.333,13.000,4.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.500000,0.000000,0.666667,0.333333,16.333,16.333,0.667,3
rep4_adjacent_8bit,dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0.437500,0.000000,0.500000,0.500000,18.000,16.000,4.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0.562500,0.000000,1.000000,1.000000,15.500,15.500,3.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0.562500,0.000000,1.000000,1.000000,15.500,15.500,3.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0.437500,0.000000,0.500000,0.500000,18.000,16.000,4.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0.687500,0.000000,1.000000,1.000000,14.500,14.500,3.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0.625000,0.000000,1.000000,1.000000,15.000,15.000,4.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,none,global_full_canvas,0.437500,0.000000,0.500000,0.500000,18.000,16.000,4.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,1.000000,0.000,0.000,20.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,1.000000,0.000,0.000,20.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.437500,0.000000,0.500000,0.500000,18.000,16.000,4.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.437500,0.000000,0.500000,0.000000,17.500,16.500,1.000,2
rep4_adjacent_8bit,dwsf_q50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.437500,0.000000,0.500000,0.500000,18.500,17.500,2.000,2
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.625000,0.000000,0.666667,0.333333,14.333,14.333,1.333,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.625000,0.000000,0.666667,0.333333,14.333,14.333,1.333,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.666667,0.000000,0.666667,0.666667,12.667,12.667,2.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.625000,0.000000,0.666667,0.333333,14.000,14.000,2.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,none,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,1.000000,0.000,0.000,17.333,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.458333,0.000000,0.333333,0.000000,17.667,17.000,0.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.583333,0.000000,0.333333,0.333333,14.333,13.000,3.333,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.583333,0.000000,0.333333,0.333333,14.667,14.000,2.667,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.458333,0.000000,0.333333,0.333333,16.000,14.000,2.000,3
rep4_adjacent_8bit,dwsf_q50_s3.0,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.458333,0.000000,0.333333,0.000000,17.333,16.000,0.000,3
