scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.302083,0.000000,0.000000,2344.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.312500,0.000000,0.000000,2047.7,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.447917,0.437500,0.000000,2558.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.177083,0.000000,0.000000,48.7,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.187500,0.000000,0.000000,17.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,none,global_full_canvas,0.468750,0.437500,0.000000,2521.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,26986.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,27119.3,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.468750,0.437500,0.000000,2660.0,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.333333,0.000000,0.000000,1659.7,43.3670,3
dwsf_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.364583,0.000000,0.000000,1182.0,43.3670,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.427083,0.375000,0.000000,1300.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.125000,0.000000,0.000000,187.3,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.114583,0.000000,0.000000,73.3,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.406250,0.375000,0.000000,3720.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.375000,0.343750,0.000000,5612.3,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.406250,0.343750,0.000000,5516.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.395833,0.343750,0.000000,3138.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,29671.3,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,29595.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.364583,0.343750,0.000000,3424.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.385417,0.312500,0.000000,519.0,45.6673,3
dwsf_q50_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.281250,0.000000,0.000000,149.0,45.6673,3
dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,43.4591,2
dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0.375000,0.312500,0.000000,6812.0,43.4591,2
dwsf_q50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0.390625,0.343750,0.000000,7003.5,43.4591,2
