code_mode,scheme,scenario,attack,decode_method,source_idx,source_image,target_payload,decoded_payload,target_message,predicted_message,bit_accuracy,payload_accuracy,payload_success,mask_pixels,used_fallback,composite_psnr,box
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,oracle_box_raw,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,33255,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,must_mer_resize,0,alpaca.jpg,11001100,11001100,11111111000000001111111100000000,11111111000000001111111100000000,1.000000,1.000000,1,33173,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,oracle_box_raw,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,33107,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,none,must_mer_resize,1,ducks.jpg,11010011,11010011,11111111000011110000000011111111,11111111000011110000000011111111,1.000000,1.000000,1,33000,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,01000001000000000100010000010000,0.593750,0.500000,0,291,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,01000001000000000100010000010000,0.593750,0.500000,0,317,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,1,ducks.jpg,11010011,11110011,11111111000011110000000011111111,10100110110000110000000011110110,0.687500,0.875000,0,17130,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,1,ducks.jpg,11010011,11110011,11111111000011110000000011111111,10100110110000110000000011110110,0.687500,0.875000,0,16239,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,1,ducks.jpg,11010011,11110001,11111111000011110000000011111111,10101100011000110100001000010110,0.531250,0.750000,0,3574,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,1,ducks.jpg,11010011,11110001,11111111000011110000000011111111,10101100011000110100001000010110,0.531250,0.750000,0,3415,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11001100,01010100,11111111000000001111111100000000,00100101100001110001011010000100,0.500000,0.625000,0,73,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.500000,0.500000,0,30,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.500000,0.500000,0,31,0,43.3477,"34,42,222,230"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11010011,01010100,11111111000011110000000011111111,00100101100001110001011010000100,0.500000,0.500000,0,73,0,43.3477,"270,172,450,352"
rep4_adjacent_8bit,single_center50_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,1,ducks.jpg,11010011,11110011,11111111000011110000000011111111,11100110110000110000000011010110,0.687500,0.875000,0,17827,0,43.3477,"270,172,450,352"
