scheme,code_mode,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr
dwsf_q50_s2.5,rep4_adjacent_8bit,global_full_canvas,0.230469,0.460938,0.000000,44.2610
dwsf_q50_s2.5,rep4_adjacent_8bit,must_mer_resize,0.425781,0.644531,0.250000,44.2610
dwsf_q50_s2.5,rep4_adjacent_8bit,oracle_box_raw,0.425781,0.648438,0.250000,44.2610
dwsf_q50_s3.0,rep4_adjacent_8bit,global_full_canvas,0.260742,0.468750,0.000000,42.7517
dwsf_q50_s3.0,rep4_adjacent_8bit,must_mer_resize,0.460938,0.675781,0.281250,42.7517
dwsf_q50_s3.0,rep4_adjacent_8bit,oracle_box_raw,0.441406,0.675781,0.250000,42.7517
full_material_s2.5,rep4_adjacent_8bit,global_full_canvas,0.216797,0.464844,0.000000,40.6896
full_material_s2.5,rep4_adjacent_8bit,must_mer_resize,0.471680,0.667969,0.250000,40.6896
full_material_s2.5,rep4_adjacent_8bit,oracle_box_raw,0.490234,0.683594,0.250000,40.6896
full_material_s3.0,rep4_adjacent_8bit,global_full_canvas,0.166992,0.464844,0.000000,39.1498
full_material_s3.0,rep4_adjacent_8bit,must_mer_resize,0.524414,0.679688,0.250000,39.1498
full_material_s3.0,rep4_adjacent_8bit,oracle_box_raw,0.504883,0.675781,0.250000,39.1498
single_center50_s2.5,rep4_adjacent_8bit,global_full_canvas,0.215820,0.468750,0.000000,42.2138
single_center50_s2.5,rep4_adjacent_8bit,must_mer_resize,0.498047,0.652344,0.250000,42.2138
single_center50_s2.5,rep4_adjacent_8bit,oracle_box_raw,0.489258,0.667969,0.250000,42.2138
dwsf_q50_s2.5,rep4_interleaved_8bit,global_full_canvas,0.347656,0.472656,0.000000,44.2514
dwsf_q50_s2.5,rep4_interleaved_8bit,must_mer_resize,0.450195,0.636719,0.281250,44.2514
dwsf_q50_s2.5,rep4_interleaved_8bit,oracle_box_raw,0.447266,0.632812,0.281250,44.2514
dwsf_q50_s3.0,rep4_interleaved_8bit,global_full_canvas,0.299805,0.468750,0.000000,42.7509
dwsf_q50_s3.0,rep4_interleaved_8bit,must_mer_resize,0.500977,0.664062,0.312500,42.7509
dwsf_q50_s3.0,rep4_interleaved_8bit,oracle_box_raw,0.481445,0.648438,0.281250,42.7509
full_material_s2.5,rep4_interleaved_8bit,global_full_canvas,0.271484,0.457031,0.000000,40.6768
full_material_s2.5,rep4_interleaved_8bit,must_mer_resize,0.556641,0.679688,0.250000,40.6768
full_material_s2.5,rep4_interleaved_8bit,oracle_box_raw,0.543945,0.667969,0.250000,40.6768
full_material_s3.0,rep4_interleaved_8bit,global_full_canvas,0.231445,0.476562,0.000000,39.1453
full_material_s3.0,rep4_interleaved_8bit,must_mer_resize,0.569336,0.644531,0.250000,39.1453
full_material_s3.0,rep4_interleaved_8bit,oracle_box_raw,0.577148,0.656250,0.250000,39.1453
single_center50_s2.5,rep4_interleaved_8bit,global_full_canvas,0.183594,0.464844,0.000000,42.2075
single_center50_s2.5,rep4_interleaved_8bit,must_mer_resize,0.563477,0.648438,0.250000,42.2075
single_center50_s2.5,rep4_interleaved_8bit,oracle_box_raw,0.555664,0.664062,0.250000,42.2075
