scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.458333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.156250,0.458333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.208333,0.583333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.458333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.218750,0.583333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.218750,0.583333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,global_full_canvas,0.000000,0.458333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.447917,0.458333,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.333333,0.541667,0.000000,43.3854,3
dwsf_q50_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.343750,0.541667,0.000000,43.3854,3
