scaling_w,coding,attack,mean_payload_accuracy,payload_success_rate,mean_full_bit_accuracy,min_payload_accuracy,num_images
2.5000,rep3_10,crop_bottom_right_50,1.000000,1.000000,0.962500,1.000000,5
2.5000,rep3_10,crop_center_50,1.000000,1.000000,0.975000,1.000000,5
2.5000,rep3_10,jpeg_q20,0.820000,0.600000,0.837500,0.300000,5
2.5000,rep3_10,jpeg_q30,0.960000,0.800000,0.937500,0.800000,5
2.5000,rep3_10,none,1.000000,1.000000,1.000000,1.000000,5
2.5000,rep3_10,resize_0.25_jpeg_q50,1.000000,1.000000,0.981250,1.000000,5
2.5000,uncoded10,crop_bottom_right_50,0.980000,0.800000,0.981250,0.900000,5
2.5000,uncoded10,crop_center_50,0.940000,0.400000,0.975000,0.900000,5
2.5000,uncoded10,jpeg_q20,0.840000,0.600000,0.850000,0.400000,5
2.5000,uncoded10,jpeg_q30,0.940000,0.800000,0.943750,0.700000,5
2.5000,uncoded10,none,1.000000,1.000000,1.000000,1.000000,5
2.5000,uncoded10,resize_0.25_jpeg_q50,0.960000,0.800000,0.937500,0.800000,5
3.0000,rep3_10,crop_bottom_right_50,1.000000,1.000000,0.962500,1.000000,5
3.0000,rep3_10,crop_center_50,1.000000,1.000000,0.962500,1.000000,5
3.0000,rep3_10,jpeg_q20,0.880000,0.800000,0.893750,0.400000,5
3.0000,rep3_10,jpeg_q30,0.980000,0.800000,0.956250,0.900000,5
3.0000,rep3_10,none,1.000000,1.000000,1.000000,1.000000,5
3.0000,rep3_10,resize_0.25_jpeg_q50,1.000000,1.000000,0.981250,1.000000,5
3.0000,uncoded10,crop_bottom_right_50,1.000000,1.000000,0.987500,1.000000,5
3.0000,uncoded10,crop_center_50,0.940000,0.400000,0.975000,0.900000,5
3.0000,uncoded10,jpeg_q20,0.900000,0.800000,0.881250,0.500000,5
3.0000,uncoded10,jpeg_q30,0.960000,0.800000,0.962500,0.800000,5
3.0000,uncoded10,none,1.000000,1.000000,1.000000,1.000000,5
3.0000,uncoded10,resize_0.25_jpeg_q50,0.960000,0.800000,0.962500,0.800000,5
