scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
dwsf_default_q30_s2.5,bright_contrast_jpeg80,0.987500,0.937500,0.800000,42.0144,5
dwsf_default_q30_s2.5,brightness_1.5,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,contrast_1.5,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,jpeg_q30,0.918750,0.593750,0.800000,42.0144,5
dwsf_default_q30_s2.5,jpeg_q50,0.956250,0.781250,0.800000,42.0144,5
dwsf_default_q30_s2.5,median_filter_3,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,none,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,resize_0.5_jpeg50,0.943750,0.718750,0.800000,42.0144,5
dwsf_default_q30_s2.5,saturation_1.5,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,sharpness_2.0,1.000000,1.000000,1.000000,42.0144,5
dwsf_default_q30_s2.5,webp_q50,0.912500,0.593750,0.600000,42.0144,5
dwsf_default_q30_s2.5,webp_q80,0.993750,0.968750,0.800000,42.0144,5
dwsf_robust_q50_s2.5,bright_contrast_jpeg80,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,brightness_1.5,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,contrast_1.5,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,jpeg_q30,0.943750,0.718750,0.800000,39.7046,5
dwsf_robust_q50_s2.5,jpeg_q50,0.987500,0.937500,0.800000,39.7046,5
dwsf_robust_q50_s2.5,median_filter_3,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,none,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,resize_0.5_jpeg50,0.975000,0.875000,0.800000,39.7046,5
dwsf_robust_q50_s2.5,saturation_1.5,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,sharpness_2.0,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_q50_s2.5,webp_q50,0.943750,0.750000,0.600000,39.7046,5
dwsf_robust_q50_s2.5,webp_q80,1.000000,1.000000,1.000000,39.7046,5
dwsf_robust_strong_q50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,brightness_1.5,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,contrast_1.5,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,jpeg_q30,0.950000,0.750000,0.800000,38.1298,5
dwsf_robust_strong_q50_s3.0,jpeg_q50,0.993750,0.968750,0.800000,38.1298,5
dwsf_robust_strong_q50_s3.0,median_filter_3,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,none,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,resize_0.5_jpeg50,0.993750,0.968750,0.800000,38.1298,5
dwsf_robust_strong_q50_s3.0,saturation_1.5,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,sharpness_2.0,1.000000,1.000000,1.000000,38.1298,5
dwsf_robust_strong_q50_s3.0,webp_q50,0.968750,0.875000,0.600000,38.1298,5
dwsf_robust_strong_q50_s3.0,webp_q80,1.000000,1.000000,1.000000,38.1298,5
dwsf_strong_q30_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,brightness_1.5,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,contrast_1.5,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,jpeg_q30,0.931250,0.687500,0.600000,40.4399,5
dwsf_strong_q30_s3.0,jpeg_q50,0.968750,0.843750,0.800000,40.4399,5
dwsf_strong_q30_s3.0,median_filter_3,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,none,1.000000,1.000000,1.000000,40.4399,5
dwsf_strong_q30_s3.0,resize_0.5_jpeg50,0.962500,0.812500,0.800000,40.4399,5
dwsf_strong_q30_s3.0,saturation_1.5,1.000000,1.000000,1.000000,40.4399,5
