scaling_w,attack,mean_bit_accuracy,min_bit_accuracy,mean_clean_psnr,num_images
0.2500,center_crop_0.5,0.000000,0.000000,59.1528,5
0.2500,jpeg_q20,0.375000,0.000000,59.1528,5
0.2500,jpeg_q30,0.281250,0.000000,59.1528,5
0.2500,jpeg_q50,0.200000,0.000000,59.1528,5
0.2500,none,0.581250,0.000000,59.1528,5
0.2500,resize_0.25,0.900000,0.687500,59.1528,5
0.2500,resize_0.25_jpeg_q50,0.362500,0.000000,59.1528,5
0.2500,resize_0.5,0.906250,0.718750,59.1528,5
0.5000,center_crop_0.5,0.000000,0.000000,53.1347,5
0.5000,jpeg_q20,0.575000,0.000000,53.1347,5
0.5000,jpeg_q30,0.543750,0.000000,53.1347,5
0.5000,jpeg_q50,0.743750,0.468750,53.1347,5
0.5000,none,0.937500,0.781250,53.1347,5
0.5000,resize_0.25,0.943750,0.750000,53.1347,5
0.5000,resize_0.25_jpeg_q50,0.606250,0.000000,53.1347,5
0.5000,resize_0.5,0.962500,0.843750,53.1347,5
1.0000,center_crop_0.5,0.200000,0.000000,47.1218,5
1.0000,jpeg_q20,0.693750,0.000000,47.1218,5
1.0000,jpeg_q30,0.806250,0.437500,47.1218,5
1.0000,jpeg_q50,0.912500,0.593750,47.1218,5
1.0000,none,0.993750,0.968750,47.1218,5
1.0000,resize_0.25,0.981250,0.906250,47.1218,5
1.0000,resize_0.25_jpeg_q50,0.918750,0.687500,47.1218,5
1.0000,resize_0.5,0.987500,0.937500,47.1218,5
1.5000,center_crop_0.5,0.931250,0.812500,43.6083,5
1.5000,jpeg_q20,0.831250,0.562500,43.6083,5
1.5000,jpeg_q30,0.925000,0.687500,43.6083,5
1.5000,jpeg_q50,0.962500,0.812500,43.6083,5
1.5000,none,0.993750,0.968750,43.6083,5
1.5000,resize_0.25,0.987500,0.937500,43.6083,5
1.5000,resize_0.25_jpeg_q50,0.950000,0.750000,43.6083,5
1.5000,resize_0.5,0.993750,0.968750,43.6083,5
2.0000,center_crop_0.5,0.968750,0.875000,41.1181,5
2.0000,jpeg_q20,0.812500,0.500000,41.1181,5
2.0000,jpeg_q30,0.962500,0.812500,41.1181,5
2.0000,jpeg_q50,0.981250,0.906250,41.1181,5
2.0000,none,1.000000,1.000000,41.1181,5
2.0000,resize_0.25,0.993750,0.968750,41.1181,5
2.0000,resize_0.25_jpeg_q50,0.975000,0.875000,41.1181,5
2.0000,resize_0.5,1.000000,1.000000,41.1181,5
2.5000,center_crop_0.5,0.987500,0.937500,39.1887,5
2.5000,jpeg_q20,0.918750,0.687500,39.1887,5
2.5000,jpeg_q30,0.956250,0.812500,39.1887,5
2.5000,jpeg_q50,0.987500,0.937500,39.1887,5
2.5000,none,1.000000,1.000000,39.1887,5
2.5000,resize_0.25,0.993750,0.968750,39.1887,5
2.5000,resize_0.25_jpeg_q50,0.962500,0.812500,39.1887,5
2.5000,resize_0.5,1.000000,1.000000,39.1887,5
3.0000,center_crop_0.5,0.987500,0.937500,37.6142,5
3.0000,jpeg_q20,0.918750,0.656250,37.6142,5
3.0000,jpeg_q30,0.968750,0.843750,37.6142,5
3.0000,jpeg_q50,0.987500,0.937500,37.6142,5
3.0000,none,1.000000,1.000000,37.6142,5
3.0000,resize_0.25,0.993750,0.968750,37.6142,5
3.0000,resize_0.25_jpeg_q50,0.968750,0.843750,37.6142,5
3.0000,resize_0.5,1.000000,1.000000,37.6142,5
4.0000,center_crop_0.5,0.987500,0.937500,35.1348,5
4.0000,jpeg_q20,0.975000,0.906250,35.1348,5
4.0000,jpeg_q30,0.987500,0.937500,35.1348,5
4.0000,jpeg_q50,0.981250,0.906250,35.1348,5
4.0000,none,1.000000,1.000000,35.1348,5
4.0000,resize_0.25,0.993750,0.968750,35.1348,5
4.0000,resize_0.25_jpeg_q50,0.981250,0.906250,35.1348,5
4.0000,resize_0.5,1.000000,1.000000,35.1348,5
